Year,TeamAbv,TeamName,3P,3PA,3P%,2P,2PA,2P%,TOTAL_3P,TOTAL_3PA,TOTAL_2P,TOTAL_2PA
2006,WAS,Washington Wizards,17.875,51.250,0.253,121.250,234.500,0.478,143.000,410.000,970.000,1876.000
2008,ATL,Atlanta Hawks,4.500,15.500,0.200,157.833,303.000,0.518,27.000,93.000,947.000,1818.000
2008,BKN,Brooklyn Nets,20.333,59.333,0.227,142.167,292.500,0.477,122.000,356.000,853.000,1755.000
2008,BOS,Boston Celtics,5.600,15.200,0.261,213.000,408.800,0.507,28.000,76.000,1065.000,2044.000
2008,CHA,Charlotte Hornets,0.167,0.500,0.500,90.333,175.167,0.408,1.000,3.000,542.000,1051.000
2008,CHI,Chicago Bulls,1.000,3.667,0.111,197.667,403.667,0.500,3.000,11.000,593.000,1211.000
2008,CLE,Cleveland Cavaliers,2.500,7.167,0.128,135.500,274.500,0.464,15.000,43.000,813.000,1647.000
2008,DAL,Dallas Mavericks,18.500,54.000,0.228,312.750,602.250,0.555,74.000,216.000,1251.000,2409.000
2008,DEN,Denver Nuggets,3.800,12.000,0.264,199.600,357.600,0.547,19.000,60.000,998.000,1788.000
2008,DET,Detroit Pistons,18.833,53.667,0.118,138.667,264.333,0.522,113.000,322.000,832.000,1586.000
2008,GSW,Golden State Warriors,6.500,24.167,0.108,187.833,366.000,0.496,39.000,145.000,1127.000,2196.000
2008,HOU,Houston Rockets,0.333,1.833,0.333,212.667,394.333,0.488,2.000,11.000,1276.000,2366.000
2008,IND,Indiana Pacers,27.167,62.833,0.147,143.333,288.167,0.504,163.000,377.000,860.000,1729.000
2008,LAC,Los Angeles Clippers,20.000,48.833,0.166,116.000,225.667,0.510,120.000,293.000,696.000,1354.000
2008,LAL,Los Angeles Lakers,5.667,17.667,0.273,222.167,413.333,0.492,34.000,106.000,1333.000,2480.000
2008,MEM,Memphis Grizzlies,1.000,5.200,0.072,205.600,412.200,0.494,5.000,26.000,1028.000,2061.000
2008,MIA,Miami Heat,8.800,21.600,0.407,178.600,363.800,0.470,44.000,108.000,893.000,1819.000
